Đường,Phường,Quận/Huyện,Thành phố,duration_days,price,acreage,package,category,public_date,expired_date,ad_type,target_renter
91/19 Nguyễn Trọng Tuyển,Phường 15,Quận Phú Nhuận,Hồ Chí Minh,1,4.7, 25m,Tin thường,Phòng trọ Quận Phú Nhuận,31/10/2024 15:28,01/11/2024 16:58,Phòng trọ,Tất cả
329 Đường Tân Quý,Phường Tân Quý,Quận Tân Phú,Hồ Chí Minh,5,4.7, 35m,Tin miễn phí,Phòng trọ Quận Tân Phú,31/10/2024 15:55,05/11/2024 15:55,Phòng trọ,Tất cả
300 Đường Hòa Bình,Phường Phú Thạnh,Quận Tân Phú,Hồ Chí Minh,5,4.8, 40m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Tân Phú,31/10/2024 15:56,05/11/2024 15:56,Cho thuê căn hộ dịch vụ,Tất cả
Dương Quảng Hàm,Phường 5,Quận Gò Vấp,Hồ Chí Minh,3,3.5, 20m,Tin miễn phí,Phòng trọ Quận Gò Vấp,31/10/2024 15:25,04/11/2024 14:51,Phòng trọ,Tất cả
711/24/28 Đường Quốc lộ 1A,Phường Thạnh Xuân,Quận 12,Hồ Chí Minh,4,2.8, 35m,Tin thường,Phòng trọ Quận 12,31/10/2024 16:02,04/11/2024 21:09,Phòng trọ,Tất cả
254/7/2G Đường Lê Văn Thọ,Phường 7,Quận Gò Vấp,Hồ Chí Minh,5,4.9, 30m,Tin miễn phí,Phòng trọ Quận Gò Vấp,31/10/2024 16:09,05/11/2024 16:09,Phòng trọ,Tất cả
Đường Nguyễn Văn Linh,Phường Bình Thuận,Quận 7,Hồ Chí Minh,1,1.9, 26m,Tin thường,Phòng trọ Quận 7,31/10/2024 16:11,01/11/2024 17:05,Phòng trọ,Nữ
656 Đường Hà Huy Giáp,Phường Thạnh Xuân,Quận 12,Hồ Chí Minh,4,2.8, 35m,Tin thường,Phòng trọ Quận 12,31/10/2024 16:03,05/11/2024 09:55,Phòng trọ,Tất cả
Đường Trần Quốc Tuấn,Phường 1,Quận Gò Vấp,Hồ Chí Minh,1,1.5, 125m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 16:11,01/11/2024 17:05,Phòng trọ,Tất cả
159 Đường số 5,Phường 17,Quận Gò Vấp,Hồ Chí Minh,5,4.2, 15m,Tin miễn phí,Phòng trọ Quận Gò Vấp,31/10/2024 08:50,05/11/2024 08:50,Phòng trọ,Tất cả
656 Đường Hà Huy Giáp,Phường Thạnh Xuân,Quận 12,Hồ Chí Minh,3,2.8, 35m,Tin thường,Phòng trọ Quận 12,31/10/2024 09:10,04/11/2024 08:59,Phòng trọ,Tất cả
16/1 Đường Trần Quang Diệu,Phường 13,Quận 3,Hồ Chí Minh,1,3, 16m,Tin thường,Phòng trọ Quận 3,31/10/2024 16:05,01/11/2024 16:57,Phòng trọ,Tất cả
Nguyễn Hữu Thọ,Phường Tân Hưng,Quận 7,Hồ Chí Minh,1,1.6, 30m,Tin thường,Phòng trọ Quận 7,31/10/2024 08:47,01/11/2024 12:28,Phòng trọ,Tất cả
310/56 Đường Phạm Văn Chiêu,Phường 9,Quận Gò Vấp,Hồ Chí Minh,3,3.6, 35m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 09:10,04/11/2024 08:55,Phòng trọ,Tất cả
Phan Đình Phùng,Quận Tân Phú,Hồ Chí Minh,,5,4.2, 20m,Tin miễn phí,Phòng trọ Quận Tân Phú,31/10/2024 09:10,05/11/2024 09:10,Phòng trọ,Tất cả
Lũy Bán Bích,Phường Tân Thành,Quận Tân Phú,Hồ Chí Minh,5,3.8, 22m,Tin miễn phí,Phòng trọ Quận Tân Phú,31/10/2024 09:10,05/11/2024 09:10,Phòng trọ,Tất cả
Số 8 ngõ 119 Phố Lê Thanh Nghị,Phường Đồng Tâm,Quận Hai Bà Trưng,Hà Nội,5,2.2, 16m,Tin thường,Phòng trọ Quận Hai Bà Trưng,31/10/2024 09:15,05/11/2024 09:15,Phòng trọ,Tất cả
Lê Đức Thọ,Phường 14,Quận Gò Vấp,Hồ Chí Minh,5,9.5, 70m,Tin miễn phí,Cho thuê căn hộ Quận Gò Vấp,31/10/2024 09:16,05/11/2024 09:16,Cho thuê căn hộ,Tất cả
Phan Huy Ích,Phường 15,Quận Tân Bình,Hồ Chí Minh,5,12, 120m,Tin miễn phí,Cho thuê căn hộ Quận Tân Bình,31/10/2024 09:23,05/11/2024 09:23,Cho thuê căn hộ,Tất cả
Đường Phạm Văn Chiêu,Phường 8,Quận Gò Vấp,Hồ Chí Minh,,3.9, 27m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 09:25,,Phòng trọ,Tất cả
160 Nguyễn Trọng Tuyển,Phường 8,Quận Phú Nhuận,Hồ Chí Minh,4,3.5, 25m,Tin thường,Phòng trọ Quận Phú Nhuận,31/10/2024 09:30,04/11/2024 16:00,Phòng trọ,Tất cả
427 Điện Biên Phủ,Quận Bình Thạnh,Hồ Chí Minh,,5,2.2, 25m,Tin miễn phí,Tìm người ở ghép Quận Bình Thạnh,31/10/2024 11:29,05/11/2024 11:29,Tìm người ở ghép,Nữ
Bắc Hải,Phường 15,Quận 10,Hồ Chí Minh,5,5, 25m,Tin miễn phí,Phòng trọ Quận 10,31/10/2024 11:28,05/11/2024 11:28,Phòng trọ,Tất cả
Phạm Văn Chiêu,Phường 9,Quận Gò Vấp,Hồ Chí Minh,4,10, 48m,Tin miễn phí,Cho thuê nhà Quận Gò Vấp,31/10/2024 11:40,05/11/2024 00:12,Nhà thuê nguyên căn,Tất cả
87 Cao Lỗ,Phường 4,Quận 8,Hồ Chí Minh,5,1.6, 30m,Tin thường,Phòng trọ Quận 8,31/10/2024 11:27,05/11/2024 11:27,Phòng trọ,Tất cả
214 Nguyễn Oanh,Phường 17,Quận Gò Vấp,Hồ Chí Minh,5,1, 30m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 11:26,05/11/2024 11:26,Phòng trọ,Tất cả
488 Phố Lê Trọng Tấn,Phường Tây Thạnh,Quận Tân Phú,Hồ Chí Minh,2,1.5, 40m,Tin thường,Phòng trọ Quận Tân Phú,31/10/2024 11:26,02/11/2024 11:43,Phòng trọ,Tất cả
54 Trần Quang Khải,Phường Tân Định,Quận 1,Hồ Chí Minh,2,1.6, 40m,Tin thường,Phòng trọ Quận 1,31/10/2024 11:26,02/11/2024 11:43,Phòng trọ,Tất cả
Đường Bắc Hải,Phường 15,Quận 10,Hồ Chí Minh,5,5, 26m,Tin miễn phí,Phòng trọ Quận 10,31/10/2024 11:33,05/11/2024 11:33,Phòng trọ,Tất cả
80/18 Thạnh Xuân 52,Phường Thạnh Xuân,Quận 12,Hồ Chí Minh,,3.5, 25m,Tin thường,Phòng trọ Quận 12,31/10/2024 12:14,,Phòng trọ,Tất cả
Đường Bắc Hải,Phường 15,Quận 10,Hồ Chí Minh,5,4.9, 28m,Tin miễn phí,Phòng trọ Quận 10,31/10/2024 11:48,05/11/2024 11:48,Phòng trọ,Tất cả
Đường Phạm Văn Chiêu,Phường 14,Quận Gò Vấp,Hồ Chí Minh,3,8.5, 56m,Tin miễn phí,Cho thuê nhà Quận Gò Vấp,31/10/2024 11:40,04/11/2024 11:34,Nhà thuê nguyên căn,Tất cả
Đường số 6,Phường Hiệp Bình Chánh,Thủ Đức,Hồ Chí Minh,5,6.8, 35m,Tin thường,Cho thuê căn hộ dịch vụ Thủ Đức,31/10/2024 12:19,05/11/2024 12:19,Cho thuê căn hộ dịch vụ,Tất cả
Nguyễn Ảnh Thủ,Phường Hiệp Thành,Quận 12,Hồ Chí Minh,3,10, 112m,Tin miễn phí,Cho thuê nhà Quận 12,31/10/2024 11:40,04/11/2024 09:14,Nhà thuê nguyên căn,Tất cả
Đường Phạm Văn Chiêu,Phường 9,Quận Gò Vấp,Hồ Chí Minh,3,10, 48m,Tin miễn phí,Cho thuê nhà Quận Gò Vấp,31/10/2024 11:40,04/11/2024 09:09,Nhà thuê nguyên căn,Tất cả
Đường số 29,Phường Bình Trưng Tây,Quận 2,Hồ Chí Minh,4,3.3, 35m,Tin thường,Phòng trọ Quận 2,31/10/2024 12:01,05/11/2024 11:21,Phòng trọ,Tất cả
108/27 Võ Duy Ninh,Phường 22,Quận Bình Thạnh,Hồ Chí Minh,5,6, 18m,Tin thường,Cho thuê nhà Quận Bình Thạnh,31/10/2024 12:05,05/11/2024 12:05,Nhà thuê nguyên căn,Tất cả
Đường Nguyễn Văn Đậu,Phường 6,Quận Bình Thạnh,Hồ Chí Minh,5,5.2, 35m,Tin thường,Cho thuê căn hộ dịch vụ Quận Bình Thạnh,31/10/2024 12:20,05/11/2024 12:20,Cho thuê căn hộ dịch vụ,Tất cả
Đường Quốc Lộ 13,Phường Hiệp Bình Chánh,Thủ Đức,Hồ Chí Minh,2,6, 35m,Tin thường,Cho thuê căn hộ mini Thủ Đức,31/10/2024 12:20,02/11/2024 22:36,Cho thuê căn hộ mini,Tất cả
685 Đường Xô Viết Nghệ Tĩnh,Phường 26,Quận Bình Thạnh,Hồ Chí Minh,2,4, 25m,Tin thường,Phòng trọ Quận Bình Thạnh,31/10/2024 12:20,02/11/2024 22:36,Phòng trọ,Tất cả
123 Nguyễn Văn Đậu,Phường 11,Quận Bình Thạnh,Hồ Chí Minh,3,5.5, 30m,Tin thường,Cho thuê căn hộ dịch vụ Quận Bình Thạnh,31/10/2024 12:20,04/11/2024 11:04,Cho thuê căn hộ dịch vụ,Tất cả
41 Đường Đô Đốc Chân,Phường Sơn Kỳ,Quận Tân Phú,Hồ Chí Minh,4,2.6, 18m,Tin thường,Phòng trọ Quận Tân Phú,31/10/2024 12:26,05/11/2024 11:44,Phòng trọ,Tất cả
Hòa Bình,Quận 11,Hồ Chí Minh,,8,4.2, 32m,Tin thường,Phòng trọ Quận 11,31/10/2024 12:39,08/11/2024 12:39,Phòng trọ,Tất cả
236 Điện Biên Phủ,Phường 17,Quận Bình Thạnh,Hồ Chí Minh,5,12.5, 55m,Tin thường,Cho thuê căn hộ mini Quận Bình Thạnh,31/10/2024 12:48,05/11/2024 12:48,Cho thuê căn hộ mini,Tất cả
35 Đường Quan Hoa,Phường Quan Hoa,Quận Cầu Giấy,Hà Nội,,4.2, 30m,Tin miễn phí,Phòng trọ Quận Cầu Giấy,31/10/2024 13:16,,Phòng trọ,Tất cả
685/25/3 Đường Xô Viết Nghệ Tĩnh,Phường 26,Quận Bình Thạnh,Hồ Chí Minh,1,4.5, 18m,Tin thường,Phòng trọ Quận Bình Thạnh,31/10/2024 11:12,01/11/2024 12:00,Phòng trọ,Tất cả
Đường số 2,Thành phố Dĩ An,Bình Dương,,5,5, 56m,Tin miễn phí,Cho thuê căn hộ Thành phố Dĩ An,31/10/2024 10:57,05/11/2024 10:57,Cho thuê căn hộ,Tất cả
459 Trần Hưng Đạo,Phường Cầu Kho,Quận 1,Hồ Chí Minh,5,5.5, 25m,Tin thường,Phòng trọ Quận 1,31/10/2024 11:15,05/11/2024 11:15,Phòng trọ,Tất cả
Đường Cách Mạng Tháng Tám,Quận 10,Hồ Chí Minh,,5,5.5, 25m,Tin thường,Cho thuê căn hộ dịch vụ Quận 10,31/10/2024 10:59,05/11/2024 10:59,Cho thuê căn hộ dịch vụ,Tất cả
Lý Thường Kiệt,Phường 14,Quận 10,Hồ Chí Minh,-120,4.5, 27m,Tin thường,Phòng trọ Quận 10,31/10/2024 11:10,03/07/2024 13:14,Phòng trọ,Tất cả
549/36 Đường Lê Văn Thọ,Phường 14,Quận Gò Vấp,Hồ Chí Minh,0,2, 18m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 11:06,01/11/2024 09:33,Phòng trọ,Tất cả
Đường số 6,Phường Bình Trưng Đông,Quận 2,Hồ Chí Minh,1,3, 21m,Tin thường,Phòng trọ Quận 2,31/10/2024 11:05,01/11/2024 14:28,Phòng trọ,Tất cả
Nguyễn Thị Minh Khai,Phường 6,Quận 3,Hồ Chí Minh,5,20, 108m,Tin miễn phí,Cho thuê căn hộ Quận 3,31/10/2024 11:01,05/11/2024 11:01,Cho thuê căn hộ,Tất cả
26/4 Đường Trần Quý Cáp,Phường 11,Quận Bình Thạnh,Hồ Chí Minh,,4.9, 20m,Tin thường,Phòng trọ Quận Bình Thạnh,31/10/2024 11:16,,Phòng trọ,Tất cả
Đường Thích Quảng Đức,Phường 5,Quận Phú Nhuận,Hồ Chí Minh,2,3.3, 20m,Tin thường,Phòng trọ Quận Phú Nhuận,31/10/2024 11:17,02/11/2024 13:44,Phòng trọ,Tất cả
54 Đường Bạch Đằng,Phường 2,Quận Tân Bình,Hồ Chí Minh,4,1.2, 35m,Tin thường,Phòng trọ Quận Tân Bình,31/10/2024 11:20,04/11/2024 15:00,Phòng trọ,Tất cả
133 Đường Bùi Viện,Phường Phạm Ngũ Lão,Quận 1,Hồ Chí Minh,4,1.3, 35m,Tin thường,Phòng trọ Quận 1,31/10/2024 11:20,04/11/2024 15:00,Phòng trọ,Tất cả
Đường Nguyễn Thị Định,Phường Bình Trưng Tây,Quận 2,Hồ Chí Minh,1,4.2, 25m,Tin miễn phí,Phòng trọ Quận 2,31/10/2024 13:47,01/11/2024 14:36,Phòng trọ,Tất cả
38 Nguyễn Văn Trỗi,Phường 15,Quận Phú Nhuận,Hồ Chí Minh,4,1.6, 40m,Tin thường,Phòng trọ Quận Phú Nhuận,31/10/2024 11:20,04/11/2024 15:46,Phòng trọ,Tất cả
Phan Huy Ích,Phường 12,Quận Gò Vấp,Hồ Chí Minh,5,3.5, 30m,Tin miễn phí,Phòng trọ Quận Gò Vấp,31/10/2024 13:47,05/11/2024 13:47,Phòng trọ,Tất cả
Đường Huỳnh Khương An,Phường 4,Quận Gò Vấp,Hồ Chí Minh,,3.1, 18m,Tin miễn phí,Phòng trọ Quận Gò Vấp,31/10/2024 13:47,,Phòng trọ,Tất cả
140 Đường Phạm Văn Chiêu,Phường 14,Quận Gò Vấp,Hồ Chí Minh,3,3, 25m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 13:55,04/11/2024 09:00,Phòng trọ,Tất cả
26/42 Tân Sơn Nhì,Phường Tân Sơn Nhì,Quận Tân Phú,Hồ Chí Minh,5,5, 30m,Tin thường,Cho thuê mặt bằng Quận Tân Phú,31/10/2024 13:55,05/11/2024 13:55,Cho thuê mặt bằng,Tất cả
686/72/41 Đường Cách Mạng Tháng Tám,Phường 11,Quận 3,Hồ Chí Minh,,2.7, 19m,Tin thường,Phòng trọ Quận 3,31/10/2024 13:54,,Phòng trọ,Tất cả
260/ Nguyễn Thiện Thuật,Phường 3,Quận 3,Hồ Chí Minh,-114,2.7, 15m,Tin thường,Phòng trọ Quận 3,31/10/2024 13:54,10/07/2024 13:49,Phòng trọ,Tất cả
Đường Hoàng Hoa Thám,Phường 2,Thành Phố Vũng Tàu,Bà Rịa - Vũng Tàu,5,2.8, 30m,Tin thường,Phòng trọ Thành Phố Vũng Tàu,31/10/2024 13:59,05/11/2024 13:59,Phòng trọ,Tất cả
179 Lê Đình Thám,Phường Tân Quý,Quận Tân Phú,Hồ Chí Minh,2,3.8, 20m,Tin thường,Phòng trọ Quận Tân Phú,31/10/2024 13:55,02/11/2024 15:22,Phòng trọ,Tất cả
26/42 Đường Tân Sơn Nhì,Phường Tân Sơn Nhì,Quận Tân Phú,Hồ Chí Minh,1,2.5, 22m,Tin thường,Phòng trọ Quận Tân Phú,31/10/2024 13:54,02/11/2024 08:49,Phòng trọ,Tất cả
Cao Thắng,Phường 6,Quận 10,Hồ Chí Minh,4,6, 35m,Tin thường,Phòng trọ Quận 10,31/10/2024 10:13,04/11/2024 18:40,Phòng trọ,Tất cả
358/1/15 Đường Cách Mạng Tháng Tám,Phường 10,Quận 3,Hồ Chí Minh,4,2, 13m,Tin thường,Phòng trọ Quận 3,31/10/2024 13:54,04/11/2024 22:46,Phòng trọ,Tất cả
160 Nguyễn Trọng Tuyển,Phường 9,Quận Phú Nhuận,Hồ Chí Minh,,3.5, 20m,Tin thường,Phòng trọ Quận Phú Nhuận,31/10/2024 10:20,,Phòng trọ,Tất cả
Đường Bắc Hải,Phường 15,Quận 10,Hồ Chí Minh,4,5, 35m,Tin thường,Phòng trọ Quận 10,31/10/2024 10:13,04/11/2024 17:27,Phòng trọ,Tất cả
Lý Thường Kiệt,Phường 7,Quận Tân Bình,Hồ Chí Minh,4,5.5, 35m,Tin thường,Phòng trọ Quận Tân Bình,31/10/2024 10:13,05/11/2024 10:12,Phòng trọ,Tất cả
Cách Mạng Tháng Tám,Phường 13,Quận 10,Hồ Chí Minh,4,6.3, 45m,Tin thường,Cho thuê căn hộ dịch vụ Quận 10,31/10/2024 10:13,04/11/2024 18:39,Cho thuê căn hộ dịch vụ,Tất cả
Phố Lý Thường Kiệt,Phường 14,Quận 10,Hồ Chí Minh,2,6, 35m,Tin miễn phí,Cho thuê căn hộ mini Quận 10,31/10/2024 10:13,02/11/2024 15:26,Cho thuê căn hộ mini,Tất cả
Nguyễn Trọng Tuyển,Phường 8,Quận Phú Nhuận,Hồ Chí Minh,,3.5, 18m,Tin thường,Phòng trọ Quận Phú Nhuận,31/10/2024 10:19,,Phòng trọ,Tất cả
20 Đường Nguyễn Chánh,Phường Trung Hòa,Quận Cầu Giấy,Hà Nội,6,5.5, 35m,Tin thường,Cho thuê căn hộ Quận Cầu Giấy,31/10/2024 10:41,06/11/2024 11:36,Cho thuê căn hộ,Tất cả
73 Hoàng Ngân,Phường Nhân Chính,Quận Thanh Xuân,Hà Nội,6,5.5, 35m,Tin thường,Cho thuê căn hộ mini Quận Thanh Xuân,31/10/2024 10:41,06/11/2024 11:35,Cho thuê căn hộ mini,Tất cả
05 Đường Tú Mỡ,Phường Trung Hòa,Quận Cầu Giấy,Hà Nội,4,4.6, 25m,Tin thường,Phòng trọ Quận Cầu Giấy,31/10/2024 10:42,04/11/2024 10:42,Phòng trọ,Tất cả
Bùi Văn Ba,Phường Tân Thuận Đông,Quận 7,Hồ Chí Minh,5,5.5, 35m,Tin miễn phí,Cho thuê căn hộ Quận 7,31/10/2024 20:40,05/11/2024 20:40,Cho thuê căn hộ,Tất cả
Đường Dương Quảng Hàm,Phường 6,Quận Gò Vấp,Hồ Chí Minh,5,3.7, 26m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 20:38,05/11/2024 20:38,Phòng trọ,Tất cả
111 Triều Khúc,Phường Thanh Xuân Nam,Quận Thanh Xuân,Hà Nội,6,3.7, 28m,Tin thường,Cho thuê căn hộ mini Quận Thanh Xuân,31/10/2024 10:41,06/11/2024 11:37,Cho thuê căn hộ mini,Tất cả
Đường Nguyễn Trãi,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,11,3.8, 24m,Tin thường,Phòng trọ Quận 1,31/10/2024 20:36,12/11/2024 08:27,Phòng trọ,Nữ
1096 Đường Láng,Phường Láng Thượng,Quận Đống Đa,Hà Nội,6,2.3, 20m,Tin thường,Phòng trọ Quận Đống Đa,31/10/2024 10:41,06/11/2024 11:36,Phòng trọ,Tất cả
19 Đường Tân Thuận Tây,Phường Tân Thuận Tây,Quận 7,Hồ Chí Minh,5,5, 30m,Tin thường,Phòng trọ Quận 7,31/10/2024 20:47,05/11/2024 20:47,Phòng trọ,Tất cả
965 Đường Quang Trung,Phường 14,Quận Gò Vấp,Hồ Chí Minh,,3.5, 30m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 20:48,,Phòng trọ,Tất cả
Hẻm 496 Đường Dương Quảng Hàm,Phường 6,Quận Gò Vấp,Hồ Chí Minh,,3.3, 29m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 20:55,,Phòng trọ,Tất cả
Đường Lê Đức Thọ,Phường 13,Quận Gò Vấp,Hồ Chí Minh,,3.5, 28m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 20:55,,Phòng trọ,Tất cả
Đường Võ Văn Hát,Phường Long Trường,Quận 9,Hồ Chí Minh,5,4.6, 30m,Tin thường,Phòng trọ Quận 9,31/10/2024 21:02,05/11/2024 21:02,Phòng trọ,Tất cả
Đường Lã Xuân Oai,Phường Long Trường,Quận 9,Hồ Chí Minh,,3.9, 30m,Tin thường,Phòng trọ Quận 9,31/10/2024 21:04,,Phòng trọ,Tất cả
965 Đường Quang Trung,Phường 14,Quận Gò Vấp,Hồ Chí Minh,,3.5, 25m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 20:48,,Phòng trọ,Tất cả
34/14A Nguyễn Đình Chiểu,Phường 3,Quận Phú Nhuận,Hồ Chí Minh,4,1.4, 40m,Tin miễn phí,Phòng trọ Quận Phú Nhuận,31/10/2024 21:34,05/11/2024 20:47,Phòng trọ,Nữ
Phố Lý Thường Kiệt,Phường 14,Quận 10,Hồ Chí Minh,0,6, 30m,Tin thường,Phòng trọ Quận 10,31/10/2024 22:18,01/11/2024 17:30,Phòng trọ,Tất cả
157/118 Đường Dương Bá Trạc,Phường 1,Quận 8,Hồ Chí Minh,,4, 50m,Tin miễn phí,Phòng trọ Quận 8,31/10/2024 17:49,,Phòng trọ,Tất cả
766 Đường Cách Mạng Tháng Tám,Phường 14,Quận 10,Hồ Chí Minh,5,5.5, 30m,Tin thường,Phòng trọ Quận 10,31/10/2024 18:49,05/11/2024 18:49,Phòng trọ,Tất cả
Đường Nơ Trang Long,Phường 7,Quận Bình Thạnh,Hồ Chí Minh,3,8, 35m,Tin thường,Cho thuê căn hộ dịch vụ Quận Bình Thạnh,31/10/2024 17:19,04/11/2024 15:19,Cho thuê căn hộ dịch vụ,Tất cả
5/71/1/1b Đường Hương lộ 2,Phường Bình Trị Đông A,Quận Bình Tân,Hồ Chí Minh,5,2.8, 16m,Tin miễn phí,Phòng trọ Quận Bình Tân,31/10/2024 17:26,05/11/2024 17:26,Phòng trọ,Tất cả
Cách Mạng Tháng Tám,Phường 7,Quận Tân Bình,Hồ Chí Minh,3,4.4, 30m,Tin thường,Phòng trọ Quận Tân Bình,31/10/2024 18:55,04/11/2024 17:20,Phòng trọ,Tất cả
69 Đường Nguyễn Gia Trí,Phường 25,Quận Bình Thạnh,Hồ Chí Minh,1,6.5, 35m,Tin thường,Phòng trọ Quận Bình Thạnh,31/10/2024 17:19,02/11/2024 15:22,Phòng trọ,Tất cả
Bến Cát,Phường 7,Quận Tân Bình,Hồ Chí Minh,4,4, 30m,Tin thường,Phòng trọ Quận Tân Bình,31/10/2024 22:33,05/11/2024 22:18,Phòng trọ,Tất cả
981/9d Đường Cách Mạng Tháng Tám,Phường 7,Quận Tân Bình,Hồ Chí Minh,5,2.5, 25m,Tin thường,Phòng trọ Quận Tân Bình,31/10/2024 22:46,05/11/2024 22:46,Phòng trọ,Nữ
360 Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,5,4.6, 105m,Tin miễn phí,Tìm người ở ghép Quận 4,31/10/2024 18:03,05/11/2024 18:03,Tìm người ở ghép,Nữ
Hẻm chợ Đường Bình Thành,Phường Bình Hưng Hòa B,Quận Bình Tân,Hồ Chí Minh,5,8, 50m,Tin miễn phí,Cho thuê mặt bằng Quận Bình Tân,31/10/2024 23:30,05/11/2024 23:30,Cho thuê mặt bằng,Nữ
Phạm Văn Chiêu,Phường 14,Quận Gò Vấp,Hồ Chí Minh,5,8.5, 64m,Tin miễn phí,Cho thuê nhà Quận Gò Vấp,31/10/2024 23:07,05/11/2024 23:07,Nhà thuê nguyên căn,Tất cả
Đường Bình Thành,Phường Bình Hưng Hòa B,Quận Bình Tân,Hồ Chí Minh,5,2.5, 25m,Tin miễn phí,Phòng trọ Quận Bình Tân,31/10/2024 23:30,05/11/2024 23:30,Phòng trọ,Nữ
Trịnh Đình Trọng,Phường 5,Quận 11,Hồ Chí Minh,1,4.5, 25m,Tin thường,Cho thuê căn hộ mini Quận 11,31/10/2024 23:35,02/11/2024 12:32,Cho thuê căn hộ mini,Tất cả
68/8 Đường Nguyễn Thị Nhỏ,Phường 9,Quận Tân Bình,Hồ Chí Minh,,15, 110m,Tin VIP 3,Cho thuê nhà Quận Tân Bình,30/10/2024 23:41,,Nhà thuê nguyên căn,Tất cả
80/66/100 Đường Dương Quảng Hàm,Phường 5,Quận Gò Vấp,Hồ Chí Minh,5,1.7, 35m,Tin VIP 3,Phòng trọ Quận Gò Vấp,31/10/2024 08:44,05/11/2024 08:44,Phòng trọ,Nam
80/66/100 Dương Quảng Hàm,Phường 5,Quận Gò Vấp,Hồ Chí Minh,5,1.6, 35m,Tin VIP 3,Phòng trọ Quận Gò Vấp,31/10/2024 08:50,05/11/2024 08:50,Phòng trọ,Nữ
1243 Đường Hoàng Sa,Phường 5,Quận Tân Bình,Hồ Chí Minh,3,5.5, 30m,Tin VIP 3,Phòng trọ Quận Tân Bình,30/10/2024 22:15,02/11/2024 22:15,Phòng trọ,Tất cả
142 Đường Nguyễn Thị Thập,Phường Bình Thuận,Quận 7,Hồ Chí Minh,3,4.2, 25m,Tin VIP 3,Phòng trọ Quận 7,30/10/2024 22:13,02/11/2024 22:13,Phòng trọ,Tất cả
Đường Tôn Thất Thuyết,Phường 3,Quận 4,Hồ Chí Minh,6,4, 20m,Tin VIP 3,Phòng trọ Quận 4,31/10/2024 07:48,06/11/2024 07:48,Phòng trọ,Tất cả
304/18 Đường Nguyễn Thượng Hiền,Phường 5,Quận Phú Nhuận,Hồ Chí Minh,5,2.3, 16m,Tin VIP 3,Phòng trọ Quận Phú Nhuận,31/10/2024 08:08,05/11/2024 08:08,Phòng trọ,Nữ
60 Đường Nguyễn Tri Phương,Phường 6,Quận 5,Hồ Chí Minh,1,1.4, 100m,Tin VIP 3,Phòng trọ Quận 5,31/10/2024 09:53,01/11/2024 09:58,Phòng trọ,Tất cả
553/2 Đường Trần Hưng Đạo,Phường Cầu Kho,Quận 1,Hồ Chí Minh,,7.5, 40m,Tin VIP 3,Phòng trọ Quận 1,31/10/2024 11:16,,Phòng trọ,Tất cả
Đường Nguyễn Xiển,Phường Long Thạnh Mỹ,Quận 9,Hồ Chí Minh,7,1.7, 63m,Tin VIP 3,Phòng trọ Quận 9,31/10/2024 14:34,07/11/2024 14:34,Phòng trọ,Nam
54 đường 1 Đường Lê Văn Việt,Phường Hiệp Phú,Quận 9,Hồ Chí Minh,7,1.5, 27m,Tin VIP 3,Phòng trọ Quận 9,31/10/2024 14:32,07/11/2024 14:32,Phòng trọ,Nam
Đường Lê Văn Chí,Phường Bình Thọ,Quận Thủ Đức,Hồ Chí Minh,7,1.6, 50m,Tin VIP 3,Phòng trọ Thủ Đức,31/10/2024 14:32,07/11/2024 14:32,Phòng trọ,Tất cả
93/3 Trần Tấn,Phường Tân Sơn Nhì,Quận Tân Phú,Hồ Chí Minh,,5, 20m,Tin VIP 3,Phòng trọ Quận Tân Phú,31/10/2024 11:17,,Phòng trọ,Tất cả
Đường D2,Phường 25,Quận Bình Thạnh,Hồ Chí Minh,,2.8, 12m,Tin VIP 3,Phòng trọ Quận Bình Thạnh,31/10/2024 13:23,,Phòng trọ,Nữ
2/26 Đường Bạch Đằng,Phường 2,Quận Tân Bình,Hồ Chí Minh,7,4.6, 25m,Tin VIP 3,Cho thuê căn hộ dịch vụ Quận Tân Bình,31/10/2024 14:34,07/11/2024 14:34,Cho thuê căn hộ dịch vụ,Tất cả
168/12 Đường Trường Chinh,Phường 13,Quận Tân Bình,Hồ Chí Minh,0,1.6, 10m,Tin VIP 3,Phòng trọ Quận Tân Bình,31/10/2024 14:11,01/11/2024 13:39,Phòng trọ,Tất cả
159/82 Đường Trần Văn Đang,Phường 11,Quận 3,Hồ Chí Minh,30,2.6, 15m,Tin VIP 2,Phòng trọ Quận 3,28/10/2024 12:06,27/11/2024 12:06,Phòng trọ,Tất cả
